Date,Platform,Pillar,Content Type,Topic,Hook,Status
2026-06-23,LinkedIn,PROOF,Text + Graphic,We ran our own machine on ourselves,"We built FORGE's entire marketing presence this morning. It took 18 minutes.",Draft
2026-06-24,Instagram,EDUCATION,Carousel (5 slides),5 things your business needs online,"Your business needs these 5 things online. Most people start with the wrong one.",Draft
2026-06-25,LinkedIn,AUTHORITY,Text post,The agency lie small businesses keep falling for,"Most marketing agencies are selling you a timeline, not a result.",Draft
2026-06-26,Instagram,PROCESS,Reel,How FORGE builds a business in 18 minutes,"Watch what happens when you say four words to FORGE: deploy team for me.",Draft
2026-06-27,Google Business,OFFER,Update post,FORGE is now open — free Quick Deploy for first 3 businesses,FORGE is live. The UK's first fully agentic marketing agency.,Draft
2026-06-30,LinkedIn,PROOF,Case study,Our first client was ourselves — the results,"Our first client was ourselves. Here is what we built and what we learned.",Draft
2026-07-01,Instagram,PROOF,Carousel,Before and after — FORGE's own website,"Before: nothing. After: 18 minutes.",Draft
2026-07-02,LinkedIn,EDUCATION,Text post,3 marketing mistakes every trade business makes,"I have looked at hundreds of UK trade business websites. The same 3 mistakes appear every time.",Draft
2026-07-03,Instagram,AUTHORITY,Reel,What AI can actually do for your business in 2026,"AI won't replace your business. But this will.",Draft
2026-07-04,Google Business,PROOF,Update post,Full Deploy package introduction,FORGE Full Deploy: the complete marketing machine for your business.,Draft
2026-07-07,LinkedIn,EDUCATION,Text post,What a good follow-up system looks like,"Most small businesses lose 70% of their enquiries because they do not follow up correctly.",Draft
2026-07-08,Instagram,PROCESS,Carousel,Meet the FORGE team,"There are 4 people on the FORGE team. None of them are human.",Draft
2026-07-09,LinkedIn,AUTHORITY,Text post,The retainer model is broken,"I spent 2 years watching small businesses pay GBP 800 per month for marketing retainers that delivered nothing.",Draft
2026-07-10,Instagram,EDUCATION,Reel,The fastest way to get your first 10 Google reviews,"No Google reviews? This is how to get 10 in 7 days.",Draft
2026-07-11,Google Business,EDUCATION,Update post,Monthly social calendar service available,FORGE writes a full month of social media content for your business in under 3 minutes.,Draft
2026-07-14,LinkedIn,PROOF,Case study,First real client result (customise with actual client),Customise with real client details,Draft
2026-07-15,Instagram,AUTHORITY,Carousel,GBP 1500 at a traditional agency vs FORGE,"GBP 1,500 to a traditional agency vs FORGE. The difference is embarrassing.",Draft
2026-07-16,LinkedIn,OFFER,Direct offer,August Special — 5 Standard Deploys at GBP 500,"This month only: I am taking 5 Standard Deploy clients at GBP 500.",Draft
2026-07-17,Instagram,PROOF,Reel,FORGE Standard Deploy in real time,"Starting now. Watch what 14 minutes builds.",Draft
2026-07-18,LinkedIn + Google Business,PROOF,Milestone post,FORGE 30 days in — results so far,30 days since FORGE launched. Here is where we stand.,Draft
